name;height;mass;hair_color;skin_color;eye_color;birth_year;sex;gender;homeworld;species;films;vehicles;starships
Luke Skywalker;172;77,0;blond;fair;blue;19,0;male;masculine;Tatooine;Human;;;
C-3PO;167;75,0;NA;gold;yellow;112,0;none;masculine;Tatooine;Droid;;;
R2-D2;96;32,0;NA;white, blue;red;33,0;none;masculine;Naboo;Droid;;;
Darth Vader;202;136,0;none;white;yellow;41,9;male;masculine;Tatooine;Human;;;
Leia Organa;150;49,0;brown;light;brown;19,0;female;feminine;Alderaan;Human;;;
Owen Lars;178;120,0;brown, grey;light;blue;52,0;male;masculine;Tatooine;Human;;;
Beru Whitesun Lars;165;75,0;brown;light;blue;47,0;female;feminine;Tatooine;Human;;;
R5-D4;97;32,0;NA;white, red;red;NA;none;masculine;Tatooine;Droid;;;
Biggs Darklighter;183;84,0;black;light;brown;24,0;male;masculine;Tatooine;Human;;;
Obi-Wan Kenobi;182;77,0;auburn, white;fair;blue-gray;57,0;male;masculine;Stewjon;Human;;;
Anakin Skywalker;188;84,0;blond;fair;blue;41,9;male;masculine;Tatooine;Human;;;
Wilhuff Tarkin;180;NA;auburn, grey;fair;blue;64,0;male;masculine;Eriadu;Human;;;
Chewbacca;228;112,0;brown;unknown;blue;200,0;male;masculine;Kashyyyk;Wookiee;;;
Han Solo;180;80,0;brown;fair;brown;29,0;male;masculine;Corellia;Human;;;
Greedo;173;74,0;NA;green;black;44,0;male;masculine;Rodia;Rodian;;;
Jabba Desilijic Tiure;175;1358,0;NA;green-tan, brown;orange;600,0;hermaphroditic;masculine;Nal Hutta;Hutt;;;
Wedge Antilles;170;77,0;brown;fair;hazel;21,0;male;masculine;Corellia;Human;;;
Jek Tono Porkins;180;110,0;brown;fair;blue;NA;NA;NA;Bestine IV;NA;;;
Yoda;66;17,0;white;green;brown;896,0;male;masculine;NA;Yoda's species;;;
Palpatine;170;75,0;grey;pale;yellow;82,0;male;masculine;Naboo;Human;;;
Boba Fett;183;78,2;black;fair;brown;31,5;male;masculine;Kamino;Human;;;
IG-88;200;140,0;none;metal;red;15,0;none;masculine;NA;Droid;;;
Bossk;190;113,0;none;green;red;53,0;male;masculine;Trandosha;Trandoshan;;;
Lando Calrissian;177;79,0;black;dark;brown;31,0;male;masculine;Socorro;Human;;;
Lobot;175;79,0;none;light;blue;37,0;male;masculine;Bespin;Human;;;
Ackbar;180;83,0;none;brown mottle;orange;41,0;male;masculine;Mon Cala;Mon Calamari;;;
Mon Mothma;150;NA;auburn;fair;blue;48,0;female;feminine;Chandrila;Human;;;
Arvel Crynyd;NA;NA;brown;fair;brown;NA;male;masculine;NA;Human;;;
Wicket Systri Warrick;88;20,0;brown;brown;brown;8,0;male;masculine;Endor;Ewok;;;
Nien Nunb;160;68,0;none;grey;black;NA;male;masculine;Sullust;Sullustan;;;
Qui-Gon Jinn;193;89,0;brown;fair;blue;92,0;male;masculine;NA;Human;;;
Nute Gunray;191;90,0;none;mottled green;red;NA;male;masculine;Cato Neimoidia;Neimodian;;;
Finis Valorum;170;NA;blond;fair;blue;91,0;male;masculine;Coruscant;Human;;;
Padmé Amidala;185;45,0;brown;light;brown;46,0;female;feminine;Naboo;Human;;;
Jar Jar Binks;196;66,0;none;orange;orange;52,0;male;masculine;Naboo;Gungan;;;
Roos Tarpals;224;82,0;none;grey;orange;NA;male;masculine;Naboo;Gungan;;;
Rugor Nass;206;NA;none;green;orange;NA;male;masculine;Naboo;Gungan;;;
Ric Olié;183;NA;brown;fair;blue;NA;male;masculine;Naboo;Human;;;
Watto;137;NA;black;blue, grey;yellow;NA;male;masculine;Toydaria;Toydarian;;;
Sebulba;112;40,0;none;grey, red;orange;NA;male;masculine;Malastare;Dug;;;
Quarsh Panaka;183;NA;black;dark;brown;62,0;male;masculine;Naboo;Human;;;
Shmi Skywalker;163;NA;black;fair;brown;72,0;female;feminine;Tatooine;Human;;;
Darth Maul;175;80,0;none;red;yellow;54,0;male;masculine;Dathomir;Zabrak;;;
Bib Fortuna;180;NA;none;pale;pink;NA;male;masculine;Ryloth;Twi'lek;;;
Ayla Secura;178;55,0;none;blue;hazel;48,0;female;feminine;Ryloth;Twi'lek;;;
Ratts Tyerel;79;15,0;none;grey, blue;unknown;NA;male;masculine;Aleen Minor;Aleena;;;
Dud Bolt;94;45,0;none;blue, grey;yellow;NA;male;masculine;Vulpter;Vulptereen;;;
Gasgano;122;NA;none;white, blue;black;NA;male;masculine;Troiken;Xexto;;;
Ben Quadinaros;163;65,0;none;grey, green, yellow;orange;NA;male;masculine;Tund;Toong;;;
Mace Windu;188;84,0;none;dark;brown;72,0;male;masculine;Haruun Kal;Human;;;
Ki-Adi-Mundi;198;82,0;white;pale;yellow;92,0;male;masculine;Cerea;Cerean;;;
Kit Fisto;196;87,0;none;green;black;NA;male;masculine;Glee Anselm;Nautolan;;;
Eeth Koth;171;NA;black;brown;brown;NA;male;masculine;Iridonia;Zabrak;;;
Adi Gallia;184;50,0;none;dark;blue;NA;female;feminine;Coruscant;Tholothian;;;
Saesee Tiin;188;NA;none;pale;orange;NA;male;masculine;Iktotch;Iktotchi;;;
Yarael Poof;264;NA;none;white;yellow;NA;male;masculine;Quermia;Quermian;;;
Plo Koon;188;80,0;none;orange;black;22,0;male;masculine;Dorin;Kel Dor;;;
Mas Amedda;196;NA;none;blue;blue;NA;male;masculine;Champala;Chagrian;;;
Gregar Typho;185;85,0;black;dark;brown;NA;NA;NA;Naboo;NA;;;
Cordé;157;NA;brown;light;brown;NA;NA;NA;Naboo;NA;;;
Cliegg Lars;183;NA;brown;fair;blue;82,0;male;masculine;Tatooine;Human;;;
Poggle the Lesser;183;80,0;none;green;yellow;NA;male;masculine;Geonosis;Geonosian;;;
Luminara Unduli;170;56,2;black;yellow;blue;58,0;female;feminine;Mirial;Mirialan;;;
Barriss Offee;166;50,0;black;yellow;blue;40,0;female;feminine;Mirial;Mirialan;;;
Dormé;165;NA;brown;light;brown;NA;female;feminine;Naboo;Human;;;
Dooku;193;80,0;white;fair;brown;102,0;male;masculine;Serenno;Human;;;
Bail Prestor Organa;191;NA;black;tan;brown;67,0;male;masculine;Alderaan;Human;;;
Jango Fett;183;79,0;black;tan;brown;66,0;male;masculine;Concord Dawn;Human;;;
Zam Wesell;168;55,0;blonde;fair, green, yellow;yellow;NA;female;feminine;Zolan;Clawdite;;;
Dexter Jettster;198;102,0;none;brown;yellow;NA;male;masculine;Ojom;Besalisk;;;
Lama Su;229;88,0;none;grey;black;NA;male;masculine;Kamino;Kaminoan;;;
Taun We;213;NA;none;grey;black;NA;female;feminine;Kamino;Kaminoan;;;
Jocasta Nu;167;NA;white;fair;blue;NA;female;feminine;Coruscant;Human;;;
R4-P17;96;NA;none;silver, red;red, blue;NA;none;feminine;NA;Droid;;;
Wat Tambor;193;48,0;none;green, grey;unknown;NA;male;masculine;Skako;Skakoan;;;
San Hill;191;NA;none;grey;gold;NA;male;masculine;Muunilinst;Muun;;;
Shaak Ti;178;57,0;none;red, blue, white;black;NA;female;feminine;Shili;Togruta;;;
Grievous;216;159,0;none;brown, white;green, yellow;NA;male;masculine;Kalee;Kaleesh;;;
Tarfful;234;136,0;brown;brown;blue;NA;male;masculine;Kashyyyk;Wookiee;;;
Raymus Antilles;188;79,0;brown;light;brown;NA;male;masculine;Alderaan;Human;;;
Sly Moore;178;48,0;none;pale;white;NA;NA;NA;Umbara;NA;;;
Tion Medon;206;80,0;none;grey;black;NA;male;masculine;Utapau;Pau'an;;;
Finn;NA;NA;black;dark;dark;NA;male;masculine;NA;Human;;;
Rey;NA;NA;brown;light;hazel;NA;female;feminine;NA;Human;;;
Poe Dameron;NA;NA;brown;light;brown;NA;male;masculine;NA;Human;;;
BB8;NA;NA;none;none;black;NA;none;masculine;NA;Droid;;;
Captain Phasma;NA;NA;none;none;unknown;NA;female;feminine;NA;Human;;;
